filename,time_interval,best_lag
60601,2019-01-01 to 2024-12-31,0
60601,2019-01-01 to 2019-12-31,-10
60601,2020-01-01 to 2020-12-31,-10
60601,2021-01-01 to 2021-12-31,4
60601,2022-01-01 to 2022-12-31,-10
60601,2023-01-01 to 2023-12-31,-6
60601,2024-01-01 to 2024-12-31,-8
60602,2019-01-01 to 2024-12-31,0
60602,2019-01-01 to 2019-12-31,-10
60602,2020-01-01 to 2020-12-31,-10
60602,2021-01-01 to 2021-12-31,-10
60602,2022-01-01 to 2022-12-31,-10
60602,2023-01-01 to 2023-12-31,-6
60602,2024-01-01 to 2024-12-31,-1
60603,2019-01-01 to 2024-12-31,-10
60603,2019-01-01 to 2019-12-31,-9
60603,2020-01-01 to 2020-12-31,-9
60603,2021-01-01 to 2021-12-31,3
60603,2022-01-01 to 2022-12-31,-10
60603,2023-01-01 to 2023-12-31,-5
60603,2024-01-01 to 2024-12-31,-10
60604,2019-01-01 to 2024-12-31,0
60604,2019-01-01 to 2019-12-31,-10
60604,2020-01-01 to 2020-12-31,-10
60604,2021-01-01 to 2021-12-31,-6
60604,2022-01-01 to 2022-12-31,-10
60604,2023-01-01 to 2023-12-31,-6
60604,2024-01-01 to 2024-12-31,4
60605,2019-01-01 to 2024-12-31,0
60605,2019-01-01 to 2019-12-31,-10
60605,2020-01-01 to 2020-12-31,-10
60605,2021-01-01 to 2021-12-31,10
60605,2022-01-01 to 2022-12-31,-10
60605,2023-01-01 to 2023-12-31,-6
60605,2024-01-01 to 2024-12-31,10
60606,2019-01-01 to 2024-12-31,-10
60606,2019-01-01 to 2019-12-31,10
60606,2020-01-01 to 2020-12-31,6
60606,2021-01-01 to 2021-12-31,6
60606,2022-01-01 to 2022-12-31,-9
60606,2023-01-01 to 2023-12-31,-10
60606,2024-01-01 to 2024-12-31,-10
60607,2019-01-01 to 2024-12-31,-10
60607,2019-01-01 to 2019-12-31,-3
60607,2020-01-01 to 2020-12-31,9
60607,2021-01-01 to 2021-12-31,9
60607,2022-01-01 to 2022-12-31,-9
60607,2023-01-01 to 2023-12-31,-10
60607,2024-01-01 to 2024-12-31,-10
60608,2019-01-01 to 2024-12-31,-9
60608,2019-01-01 to 2019-12-31,2
60608,2020-01-01 to 2020-12-31,2
60608,2021-01-01 to 2021-12-31,-10
60608,2022-01-01 to 2022-12-31,-10
60608,2023-01-01 to 2023-12-31,-10
60608,2024-01-01 to 2024-12-31,-3
60609,2019-01-01 to 2024-12-31,-6
60609,2019-01-01 to 2019-12-31,-10
60609,2020-01-01 to 2020-12-31,9
60609,2021-01-01 to 2021-12-31,6
60609,2022-01-01 to 2022-12-31,6
60609,2023-01-01 to 2023-12-31,-9
60609,2024-01-01 to 2024-12-31,-10
60610,2019-01-01 to 2024-12-31,-10
60610,2019-01-01 to 2019-12-31,5
60610,2020-01-01 to 2020-12-31,5
60610,2021-01-01 to 2021-12-31,5
60610,2022-01-01 to 2022-12-31,-9
60610,2023-01-01 to 2023-12-31,-10
60610,2024-01-01 to 2024-12-31,-10
60611,2019-01-01 to 2024-12-31,0
60611,2019-01-01 to 2019-12-31,-10
60611,2020-01-01 to 2020-12-31,-10
60611,2021-01-01 to 2021-12-31,10
60611,2022-01-01 to 2022-12-31,-10
60611,2023-01-01 to 2023-12-31,-6
60611,2024-01-01 to 2024-12-31,10
60612,2019-01-01 to 2024-12-31,-9
60612,2019-01-01 to 2019-12-31,-10
60612,2020-01-01 to 2020-12-31,-8
60612,2021-01-01 to 2021-12-31,-10
60612,2022-01-01 to 2022-12-31,-5
60612,2023-01-01 to 2023-12-31,-8
60612,2024-01-01 to 2024-12-31,-10
60613,2019-01-01 to 2024-12-31,1
60613,2019-01-01 to 2019-12-31,-10
60613,2020-01-01 to 2020-12-31,-9
60613,2021-01-01 to 2021-12-31,-10
60613,2022-01-01 to 2022-12-31,-10
60613,2023-01-01 to 2023-12-31,-10
60613,2024-01-01 to 2024-12-31,1
60614,2019-01-01 to 2024-12-31,6
60614,2019-01-01 to 2019-12-31,-2
60614,2020-01-01 to 2020-12-31,-6
60614,2021-01-01 to 2021-12-31,-9
60614,2022-01-01 to 2022-12-31,-6
60614,2023-01-01 to 2023-12-31,-6
60614,2024-01-01 to 2024-12-31,-10
60615,2019-01-01 to 2024-12-31,10
60615,2019-01-01 to 2019-12-31,-9
60615,2020-01-01 to 2020-12-31,-9
60615,2021-01-01 to 2021-12-31,-10
60615,2022-01-01 to 2022-12-31,2
60615,2023-01-01 to 2023-12-31,10
60615,2024-01-01 to 2024-12-31,2
60616,2019-01-01 to 2024-12-31,-10
60616,2019-01-01 to 2019-12-31,-2
60616,2020-01-01 to 2020-12-31,-10
60616,2021-01-01 to 2021-12-31,-9
60616,2022-01-01 to 2022-12-31,2
60616,2023-01-01 to 2023-12-31,2
60616,2024-01-01 to 2024-12-31,-10
60617,2019-01-01 to 2024-12-31,-7
60617,2019-01-01 to 2019-12-31,-9
60617,2020-01-01 to 2020-12-31,10
60617,2021-01-01 to 2021-12-31,10
60617,2022-01-01 to 2022-12-31,-8
60617,2023-01-01 to 2023-12-31,2
60617,2024-01-01 to 2024-12-31,2
60618,2019-01-01 to 2024-12-31,-8
60618,2019-01-01 to 2019-12-31,-6
60618,2020-01-01 to 2020-12-31,-10
60618,2021-01-01 to 2021-12-31,-10
60618,2022-01-01 to 2022-12-31,-10
60618,2023-01-01 to 2023-12-31,-10
60618,2024-01-01 to 2024-12-31,3
60619,2019-01-01 to 2024-12-31,3
60619,2019-01-01 to 2019-12-31,1
60619,2020-01-01 to 2020-12-31,-1
60619,2021-01-01 to 2021-12-31,-9
60619,2022-01-01 to 2022-12-31,4
60619,2023-01-01 to 2023-12-31,3
60619,2024-01-01 to 2024-12-31,-10
60620,2019-01-01 to 2024-12-31,0
60620,2019-01-01 to 2019-12-31,-8
60620,2020-01-01 to 2020-12-31,-4
60620,2021-01-01 to 2021-12-31,-10
60620,2022-01-01 to 2022-12-31,-10
60620,2023-01-01 to 2023-12-31,0
60620,2024-01-01 to 2024-12-31,0
60621,2019-01-01 to 2024-12-31,4
60621,2019-01-01 to 2019-12-31,-10
60621,2020-01-01 to 2020-12-31,1
60621,2021-01-01 to 2021-12-31,10
60621,2022-01-01 to 2022-12-31,10
60621,2023-01-01 to 2023-12-31,-9
60621,2024-01-01 to 2024-12-31,-10
60622,2019-01-01 to 2024-12-31,-9
60622,2019-01-01 to 2019-12-31,-10
60622,2020-01-01 to 2020-12-31,5
60622,2021-01-01 to 2021-12-31,-10
60622,2022-01-01 to 2022-12-31,10
60622,2023-01-01 to 2023-12-31,-8
60622,2024-01-01 to 2024-12-31,-10
60623,2019-01-01 to 2024-12-31,-10
60623,2019-01-01 to 2019-12-31,-9
60623,2020-01-01 to 2020-12-31,-10
60623,2021-01-01 to 2021-12-31,-10
60623,2022-01-01 to 2022-12-31,-9
60623,2023-01-01 to 2023-12-31,3
60623,2024-01-01 to 2024-12-31,-10
60624,2019-01-01 to 2024-12-31,-5
60624,2019-01-01 to 2019-12-31,-10
60624,2020-01-01 to 2020-12-31,-1
60624,2021-01-01 to 2021-12-31,-2
60624,2022-01-01 to 2022-12-31,0
60624,2023-01-01 to 2023-12-31,-8
60624,2024-01-01 to 2024-12-31,-9
60625,2019-01-01 to 2024-12-31,-6
60625,2019-01-01 to 2019-12-31,-8
60625,2020-01-01 to 2020-12-31,-10
60625,2021-01-01 to 2021-12-31,-10
60625,2022-01-01 to 2022-12-31,10
60625,2023-01-01 to 2023-12-31,9
60625,2024-01-01 to 2024-12-31,-10
60626,2019-01-01 to 2024-12-31,1
60626,2019-01-01 to 2019-12-31,-10
60626,2020-01-01 to 2020-12-31,-10
60626,2021-01-01 to 2021-12-31,-9
60626,2022-01-01 to 2022-12-31,1
60626,2023-01-01 to 2023-12-31,-10
60626,2024-01-01 to 2024-12-31,-6
60628,2019-01-01 to 2024-12-31,-10
60628,2019-01-01 to 2019-12-31,-10
60628,2020-01-01 to 2020-12-31,1
60628,2021-01-01 to 2021-12-31,1
60628,2022-01-01 to 2022-12-31,-10
60628,2023-01-01 to 2023-12-31,-10
60628,2024-01-01 to 2024-12-31,1
60629,2019-01-01 to 2024-12-31,-10
60629,2019-01-01 to 2019-12-31,1
60629,2020-01-01 to 2020-12-31,-8
60629,2021-01-01 to 2021-12-31,-2
60629,2022-01-01 to 2022-12-31,-10
60629,2023-01-01 to 2023-12-31,-10
60629,2024-01-01 to 2024-12-31,-10
60630,2019-01-01 to 2024-12-31,-7
60630,2019-01-01 to 2019-12-31,-9
60630,2020-01-01 to 2020-12-31,-4
60630,2021-01-01 to 2021-12-31,1
60630,2022-01-01 to 2022-12-31,1
60630,2023-01-01 to 2023-12-31,-9
60630,2024-01-01 to 2024-12-31,-10
60631,2019-01-01 to 2024-12-31,-6
60631,2019-01-01 to 2019-12-31,-10
60631,2020-01-01 to 2020-12-31,3
60631,2021-01-01 to 2021-12-31,4
60631,2022-01-01 to 2022-12-31,-9
60631,2023-01-01 to 2023-12-31,-10
60631,2024-01-01 to 2024-12-31,-9
60632,2019-01-01 to 2024-12-31,-10
60632,2019-01-01 to 2019-12-31,10
60632,2020-01-01 to 2020-12-31,-8
60632,2021-01-01 to 2021-12-31,-2
60632,2022-01-01 to 2022-12-31,-10
60632,2023-01-01 to 2023-12-31,-10
60632,2024-01-01 to 2024-12-31,-10
60633,2019-01-01 to 2024-12-31,-6
60633,2019-01-01 to 2019-12-31,-10
60633,2020-01-01 to 2020-12-31,-10
60633,2021-01-01 to 2021-12-31,8
60633,2022-01-01 to 2022-12-31,-5
60633,2023-01-01 to 2023-12-31,-9
60633,2024-01-01 to 2024-12-31,-10
60634,2019-01-01 to 2024-12-31,-8
60634,2019-01-01 to 2019-12-31,-10
60634,2020-01-01 to 2020-12-31,-9
60634,2021-01-01 to 2021-12-31,10
60634,2022-01-01 to 2022-12-31,10
60634,2023-01-01 to 2023-12-31,-8
60634,2024-01-01 to 2024-12-31,-10
60636,2019-01-01 to 2024-12-31,5
60636,2019-01-01 to 2019-12-31,-10
60636,2020-01-01 to 2020-12-31,3
60636,2021-01-01 to 2021-12-31,-4
60636,2022-01-01 to 2022-12-31,-4
60636,2023-01-01 to 2023-12-31,-9
60636,2024-01-01 to 2024-12-31,-10
60637,2019-01-01 to 2024-12-31,-1
60637,2019-01-01 to 2019-12-31,-9
60637,2020-01-01 to 2020-12-31,-9
60637,2021-01-01 to 2021-12-31,-10
60637,2022-01-01 to 2022-12-31,5
60637,2023-01-01 to 2023-12-31,-1
60637,2024-01-01 to 2024-12-31,5
60638,2019-01-01 to 2024-12-31,9
60638,2019-01-01 to 2019-12-31,-10
60638,2020-01-01 to 2020-12-31,10
60638,2021-01-01 to 2021-12-31,-8
60638,2022-01-01 to 2022-12-31,-10
60638,2023-01-01 to 2023-12-31,9
60638,2024-01-01 to 2024-12-31,10
60639,2019-01-01 to 2024-12-31,8
60639,2019-01-01 to 2019-12-31,10
60639,2020-01-01 to 2020-12-31,8
60639,2021-01-01 to 2021-12-31,10
60639,2022-01-01 to 2022-12-31,8
60639,2023-01-01 to 2023-12-31,-10
60639,2024-01-01 to 2024-12-31,8
60640,2019-01-01 to 2024-12-31,-4
60640,2019-01-01 to 2019-12-31,-10
60640,2020-01-01 to 2020-12-31,-9
60640,2021-01-01 to 2021-12-31,-10
60640,2022-01-01 to 2022-12-31,-10
60640,2023-01-01 to 2023-12-31,-10
60640,2024-01-01 to 2024-12-31,-4
60641,2019-01-01 to 2024-12-31,4
60641,2019-01-01 to 2019-12-31,2
60641,2020-01-01 to 2020-12-31,4
60641,2021-01-01 to 2021-12-31,2
60641,2022-01-01 to 2022-12-31,4
60641,2023-01-01 to 2023-12-31,-10
60641,2024-01-01 to 2024-12-31,4
60642,2019-01-01 to 2024-12-31,-10
60642,2019-01-01 to 2019-12-31,5
60642,2020-01-01 to 2020-12-31,5
60642,2021-01-01 to 2021-12-31,5
60642,2022-01-01 to 2022-12-31,-9
60642,2023-01-01 to 2023-12-31,-10
60642,2024-01-01 to 2024-12-31,-10
60643,2019-01-01 to 2024-12-31,4
60643,2019-01-01 to 2019-12-31,-9
60643,2020-01-01 to 2020-12-31,-10
60643,2021-01-01 to 2021-12-31,-10
60643,2022-01-01 to 2022-12-31,-10
60643,2023-01-01 to 2023-12-31,-10
60643,2024-01-01 to 2024-12-31,-6
60644,2019-01-01 to 2024-12-31,5
60644,2019-01-01 to 2019-12-31,-10
60644,2020-01-01 to 2020-12-31,-1
60644,2021-01-01 to 2021-12-31,9
60644,2022-01-01 to 2022-12-31,-6
60644,2023-01-01 to 2023-12-31,-8
60644,2024-01-01 to 2024-12-31,-9
60645,2019-01-01 to 2024-12-31,4
60645,2019-01-01 to 2019-12-31,4
60645,2020-01-01 to 2020-12-31,-10
60645,2021-01-01 to 2021-12-31,8
60645,2022-01-01 to 2022-12-31,-10
60645,2023-01-01 to 2023-12-31,10
60645,2024-01-01 to 2024-12-31,10
60646,2019-01-01 to 2024-12-31,-7
60646,2019-01-01 to 2019-12-31,-9
60646,2020-01-01 to 2020-12-31,-4
60646,2021-01-01 to 2021-12-31,-5
60646,2022-01-01 to 2022-12-31,-5
60646,2023-01-01 to 2023-12-31,-9
60646,2024-01-01 to 2024-12-31,-10
60647,2019-01-01 to 2024-12-31,-4
60647,2019-01-01 to 2019-12-31,-4
60647,2020-01-01 to 2020-12-31,-10
60647,2021-01-01 to 2021-12-31,-10
60647,2022-01-01 to 2022-12-31,-10
60647,2023-01-01 to 2023-12-31,-10
60647,2024-01-01 to 2024-12-31,10
60649,2019-01-01 to 2024-12-31,10
60649,2019-01-01 to 2019-12-31,9
60649,2020-01-01 to 2020-12-31,-10
60649,2021-01-01 to 2021-12-31,10
60649,2022-01-01 to 2022-12-31,-10
60649,2023-01-01 to 2023-12-31,10
60649,2024-01-01 to 2024-12-31,-10
60651,2019-01-01 to 2024-12-31,8
60651,2019-01-01 to 2019-12-31,-10
60651,2020-01-01 to 2020-12-31,-1
60651,2021-01-01 to 2021-12-31,9
60651,2022-01-01 to 2022-12-31,10
60651,2023-01-01 to 2023-12-31,-8
60651,2024-01-01 to 2024-12-31,-9
60652,2019-01-01 to 2024-12-31,-9
60652,2019-01-01 to 2019-12-31,-10
60652,2020-01-01 to 2020-12-31,-9
60652,2021-01-01 to 2021-12-31,-10
60652,2022-01-01 to 2022-12-31,-10
60652,2023-01-01 to 2023-12-31,-10
60652,2024-01-01 to 2024-12-31,-10
60653,2019-01-01 to 2024-12-31,-10
60653,2019-01-01 to 2019-12-31,-2
60653,2020-01-01 to 2020-12-31,-10
60653,2021-01-01 to 2021-12-31,-9
60653,2022-01-01 to 2022-12-31,1
60653,2023-01-01 to 2023-12-31,1
60653,2024-01-01 to 2024-12-31,-10
60654,2019-01-01 to 2024-12-31,-10
60654,2019-01-01 to 2019-12-31,4
60654,2020-01-01 to 2020-12-31,4
60654,2021-01-01 to 2021-12-31,4
60654,2022-01-01 to 2022-12-31,-9
60654,2023-01-01 to 2023-12-31,-10
60654,2024-01-01 to 2024-12-31,-10
60655,2019-01-01 to 2024-12-31,-10
60655,2019-01-01 to 2019-12-31,-10
60655,2020-01-01 to 2020-12-31,-9
60655,2021-01-01 to 2021-12-31,-8
60655,2022-01-01 to 2022-12-31,-9
60655,2023-01-01 to 2023-12-31,-9
60655,2024-01-01 to 2024-12-31,-10
60656,2019-01-01 to 2024-12-31,8
60656,2019-01-01 to 2019-12-31,-10
60656,2020-01-01 to 2020-12-31,-5
60656,2021-01-01 to 2021-12-31,8
60656,2022-01-01 to 2022-12-31,3
60656,2023-01-01 to 2023-12-31,-10
60656,2024-01-01 to 2024-12-31,-9
60657,2019-01-01 to 2024-12-31,-10
60657,2019-01-01 to 2019-12-31,-2
60657,2020-01-01 to 2020-12-31,-2
60657,2021-01-01 to 2021-12-31,-9
60657,2022-01-01 to 2022-12-31,-6
60657,2023-01-01 to 2023-12-31,-2
60657,2024-01-01 to 2024-12-31,-10
60659,2019-01-01 to 2024-12-31,-6
60659,2019-01-01 to 2019-12-31,-8
60659,2020-01-01 to 2020-12-31,-10
60659,2021-01-01 to 2021-12-31,-10
60659,2022-01-01 to 2022-12-31,10
60659,2023-01-01 to 2023-12-31,0
60659,2024-01-01 to 2024-12-31,-10
60660,2019-01-01 to 2024-12-31,8
60660,2019-01-01 to 2019-12-31,-10
60660,2020-01-01 to 2020-12-31,-9
60660,2021-01-01 to 2021-12-31,-10
60660,2022-01-01 to 2022-12-31,-10
60660,2023-01-01 to 2023-12-31,-10
60660,2024-01-01 to 2024-12-31,8
60661,2019-01-01 to 2024-12-31,-10
60661,2019-01-01 to 2019-12-31,-6
60661,2020-01-01 to 2020-12-31,-6
60661,2021-01-01 to 2021-12-31,-6
60661,2022-01-01 to 2022-12-31,-9
60661,2023-01-01 to 2023-12-31,-10
60661,2024-01-01 to 2024-12-31,-10
60666,2019-01-01 to 2024-12-31,-1
60666,2019-01-01 to 2019-12-31,-10
60666,2020-01-01 to 2020-12-31,-10
60666,2021-01-01 to 2021-12-31,-3
60666,2022-01-01 to 2022-12-31,-10
60666,2023-01-01 to 2023-12-31,-10
60666,2024-01-01 to 2024-12-31,-10
60707,2019-01-01 to 2024-12-31,-8
60707,2019-01-01 to 2019-12-31,-10
60707,2020-01-01 to 2020-12-31,-9
60707,2021-01-01 to 2021-12-31,-9
60707,2022-01-01 to 2022-12-31,-9
60707,2023-01-01 to 2023-12-31,-8
60707,2024-01-01 to 2024-12-31,-10
60827,2019-01-01 to 2024-12-31,-4
60827,2019-01-01 to 2019-12-31,9
60827,2020-01-01 to 2020-12-31,-4
60827,2021-01-01 to 2021-12-31,-10
60827,2022-01-01 to 2022-12-31,9
60827,2023-01-01 to 2023-12-31,-2
60827,2024-01-01 to 2024-12-31,-10
